Site_N,Point,x,y
A04-48,6,121.445439,25.213266
A04-48,8,121.441839,25.211309
A04-48,9,121.438973,25.211742
A04-48,10,121.43569,25.21294
A04-48,11,121.43705,25.21002
A04-48,12,121.4332111,25.2148
A04-49,1,121.5691694,24.89228056
A04-49,2,121.568475,24.89440278
A04-49,3,121.5668694,24.89553611
A04-49,4,121.5652861,24.89712778
A04-49,5,121.567925,24.89727778
A04-49,6,121.5672806,24.8993
A04-49,7,121.5655694,24.90122222
A04-49,8,121.5620361,24.90156667
A04-49,9,121.5597611,24.90344167
A04-49,10,121.55675,24.90459167
A04-50,1,121.54719,24.95143
A04-50,2,121.5489194,24.95014167
A04-50,3,121.55065,24.95219
A04-50,4,121.55362,24.95146
A04-50,5,121.5557111,24.95288889
A04-50,6,121.5591,24.95419
A04-50,7,121.56217,24.9535
A04-50,8,121.5642806,24.95300833
A04-51,1,121.678943,24.98988
A04-51,2,121.673723,24.992003
A04-51,3,121.676966,24.992621
A04-51,4,121.679354,24.993341
A04-51,5,121.681329,24.994031
A04-51,6,121.684528,24.993713
A04-51,7,121.687677,24.995125
A04-51,8,121.681711,24.991093
A04-52,4,121.610603,25.04072
A04-53,1,121.52466,25.02002
A04-53,2,121.52244,25.01988
A04-53,3,121.52011,25.02043
A04-53,4,121.52344,25.01809
A04-53,5,121.5243444,25.01533611
A04-53,6,121.5263667,25.01262778
A04-53,7,121.52917,25.01052
A04-53,8,121.5319833,25.00958333
A04-54,1,121.53338,25.00701
A04-54,2,121.53484,25.00443
A04-54,3,121.53523,25.00165
A04-54,4,121.53512,24.99858
A04-54,5,121.53535,24.99636
A04-54,6,121.5367,24.99469
A04-55,1,121.5377,24.94072222
A04-55,2,121.5387972,24.93915556
A04-55,3,121.5407944,24.93885556
A04-55,4,121.54185,24.94049167
A04-55,5,121.5424306,24.94223056
A04-55,6,121.5404361,24.942425
A05-01,1,121.4540944,24.94486944
A05-01,2,121.4558222,24.94598611
A05-01,3,121.4577139,24.94681944
A05-01,4,121.4595611,24.94773333
A05-01,5,121.4620556,24.947375
A05-01,6,121.4635056,24.94885833
A05-04,2,121.5036472,24.92276389
A05-04,4,121.5018583,24.91789722
A05-04,5,121.5041472,24.91590556
A05-04,6,121.5020917,24.913625
A05-04,7,121.4985417,24.91286944
A05-04,8,121.4996389,24.91965
A05-05,1,121.6413889,24.83805556
A05-05,2,121.6463444,24.83558611
A05-05,3,121.6441417,24.83550278
A05-05,4,121.6438889,24.8375
A05-05,5,121.6413889,24.83805556
A05-05,6,121.64,24.84
A05-05,7,121.6379583,24.84001944
A05-05,8,121.6372694,24.84165833
A05-09,1,121.5731028,24.84952778
A05-09,2,121.5785556,24.84973333
A05-09,3,121.5803889,24.85026667
A05-09,4,121.5849917,24.85046667
A05-09,5,121.5848056,24.84865278
A05-09,6,121.5834167,24.84575
A05-09,7,121.5870417,24.84691944
A05-09,8,121.5914917,24.84415833
A05-09,9,121.5760722,24.84955278
A05-09,10,121.5826333,24.84996111
A05-10,1,121.6085389,24.84736667
A05-10,2,121.6047222,24.84635278
A05-10,3,121.6028583,24.84756111
A05-10,4,121.6011861,24.84553611
A05-10,5,121.5979722,24.84841944
A05-10,6,121.5960778,24.84622222
A05-10,7,121.5929556,24.84601944
A05-10,8,121.5911694,24.84487222
A05-10,9,121.5880111,24.846825
A05-10,10,121.5833417,24.84495833
A05-14,1,121.5289306,24.88814444
A05-14,2,121.5314917,24.88891667
A05-14,3,121.5329722,24.89013889
A05-14,4,121.5329472,24.89175833
A05-14,5,121.5331889,24.89421111
A05-14,6,121.534975,24.89411111
A05-14,7,121.5394167,24.89716667
A05-14,8,121.5391667,24.90002778
A05-14,9,121.5439583,24.90213889
A05-14,10,121.5435111,24.90351389
A05-15,1,121.5828889,24.76075
A05-15,2,121.5851944,24.75977778
A05-15,3,121.5876944,24.75958333
A05-15,4,121.58975,24.76027778
A05-15,5,121.5924722,24.75911111
A05-15,6,121.5921389,24.75702778
A05-15,7,121.5946667,24.75575
A05-15,8,121.5971111,24.75486111
A05-17,1,121.6915889,24.78431389
A05-17,2,121.6878694,24.78535833
A05-17,3,121.6797389,24.78535833
A05-17,4,121.6776694,24.78645278
A05-17,5,121.6768583,24.78495278
A05-19,1,121.7266278,24.82145
A05-19,2,121.7273139,24.82343333
A05-19,4,121.7314222,24.82547222
A05-19,6,121.7348083,24.82247778
A07-10,1,121.7805556,24.45055556
A07-10,2,121.7813861,24.4525
A07-10,3,121.7833,24.45391
A07-10,4,121.78956,24.45189
A07-10,5,121.7925,24.45333
A07-10,6,121.7935,24.45058
A07-10,7,121.7958306,24.44861111
A07-10,8,121.7983333,24.44805556
A07-10,9,121.80025,24.44676
A07-10,10,121.80339,24.44655
A09-01,1,121.4268167,25.14044722
A09-01,2,121.42795,25.13886389
A09-01,3,121.4294528,25.137225
A09-01,4,121.4292167,25.13542222
A09-01,5,121.4288556,25.13348056
A09-01,6,121.4272444,25.13220278
A09-02,1,121.3055556,25.05132222
A09-02,2,121.3078139,25.05054167
A09-02,3,121.3097861,25.05107778
A09-02,4,121.3134944,25.05178611
A09-02,5,121.3162889,25.0512
A09-02,6,121.3210028,25.05411667
A09-03,1,121.397174,24.997018
A09-03,2,121.396327,24.995314
A09-03,3,121.393935,24.994047
A09-03,4,121.391824,24.993529
A09-03,5,121.389874,24.994031
A09-03,6,121.388464,24.996192
A09-04,1,120.97278,24.69084
A09-04,2,120.9766278,24.69132222
A09-04,3,120.9761139,24.68833611
A09-04,4,120.9739889,24.688375
A09-04,5,120.9794472,24.684725
A09-04,6,120.9802611,24.67942778
A09-04,7,120.982775,24.68499722
A09-04,8,120.9833278,24.68833611
A09-04,9,120.98427,24.68576
A09-04,10,120.98222,24.68223
A09-05,1,121.2989472,24.84769167
