,Site_N,Point,X_new,Y_new
682,A09-13,4,121.22719,25.04494
683,A09-13,5,121.22836,25.04367
685,A09-13,7,121.23325,25.04383
686,A09-13,8,121.23672,25.04258
687,A09-13,9,121.23725,25.04042
688,A09-13,10,121.23867,25.0375
689,A09-15,1,121.44858,25.02419
690,A09-15,2,121.4475,25.02281
694,A09-15,6,121.44325,25.01528
695,A09-15,7,121.445,25.02381
697,A09-15,9,121.44117,25.02008
698,A09-15,10,121.44097,25.01742
699,A09-16,1,121.16467,25.00408
700,A09-16,2,121.16434,25.0067
701,A09-16,3,121.1631,25.00908
702,A09-16,4,121.16145,25.01125
703,A09-16,5,121.16043,25.01401
704,A09-16,6,121.16086,25.01546
705,A09-16,7,121.16129,25.01704
706,A09-16,8,121.16141,25.01855
707,A09-16,9,121.165426,25.00095
708,A09-16,10,121.16478,25.00241
709,A09-18,1,121.3704139,24.98961944
710,A09-18,2,121.3718611,24.99106944
711,A09-18,3,121.3742833,24.99106944
712,A09-18,4,121.3775278,24.991
713,A09-18,5,121.3784278,24.99225278
714,A09-18,6,121.3773333,24.99375833
716,A09-18,8,121.3745944,24.99589167
720,A09-19,6,121.2890306,24.96658056
723,A09-20,1,121.3126167,24.94177778
724,A09-20,2,121.313075,24.94353333
725,A09-20,3,121.3108667,24.94264722
726,A09-20,6,121.31023,24.94801
727,A09-20,7,121.30904,24.94986
730,A09-20,10,121.3104417,24.94549722
731,A09-22,1,121.1633611,24.87225556
733,A09-22,3,121.1618056,24.86872222
736,A09-22,6,121.1613889,24.86261111
737,A09-29,1,121.49028,25.13723
738,A09-29,2,121.48973,25.13556
739,A09-29,3,121.48916,25.13389
740,A09-29,4,121.48889,25.13194
741,A09-29,5,121.48834,25.13028
742,A09-29,6,121.48778,25.12861
743,A09-29,7,121.48722,25.12694
744,A09-29,8,121.4866694,25.12499722
745,A09-29,9,121.48639,25.12334
746,A09-29,10,121.4858333,25.12138889
747,A09-30,1,121.4656,25.11515
748,A09-30,2,121.46775,25.11515278
749,A09-30,3,121.4702778,25.11528056
750,A09-30,4,121.4727778,25.11500278
751,A09-30,5,121.4753333,25.11428889
752,A09-30,6,121.4781556,25.11363056
753,A09-31,1,121.48055,25.10968056
754,A09-31,2,121.48055,25.10968056
757,A09-31,5,121.4889139,25.10806667
760,A09-31,8,121.4909083,25.10173056
763,A09-32,1,121.5255083,25.08176389
764,A09-32,2,121.5266972,25.08181389
765,A09-32,3,121.5283472,25.08305278
766,A09-32,4,121.5297611,25.08451111
767,A09-32,5,121.5309833,25.08514722
768,A09-32,6,121.53203,25.08653
769,A09-32,7,121.5337333,25.08801667
770,A09-32,8,121.535175,25.08945833
771,A09-32,9,121.5368278,25.09073333
772,A09-32,10,121.5386111,25.09098056
773,A09-32,13,121.5405972,25.09154444
774,A09-33,1,121.49545,25.03921
775,A09-33,2,121.49747,25.04036
776,A09-33,3,121.49886,25.0421
777,A09-33,4,121.50028,25.04384
778,A09-33,5,121.49309,25.03842
779,A09-33,6,121.4904,25.03758
780,A09-33,7,121.48811,25.03662
782,A09-35,1,121.5138917,25.04013056
783,A09-35,2,121.5149,25.04176111
784,A09-35,3,121.5153222,25.04315
785,A09-35,4,121.5171083,25.04107778
786,A09-35,5,121.5207028,25.04035
790,A09-36,8,121.50794,25.03291
794,A09-38,1,121.470734,25.183884
796,A09-38,3,121.477717,25.181381
800,A09-44,1,120.983441,24.79236
801,A09-44,2,120.98527,24.791424
802,A09-44,3,120.98534,24.793036
803,A09-44,4,120.98718,24.790782
804,A09-44,5,120.988709,24.792097
805,A09-44,6,120.986745,24.79439
806,A09-44,7,120.98722,24.79718
817,A09-46,1,121.0691389,24.73261111
823,A09-46,7,121.0540556,24.73511111
825,A09-46,9,121.0489722,24.72891667
826,A09-46,10,121.0463333,24.72744444
827,A09-47,1,121.149649,24.749839
828,A09-47,2,121.148136,24.74956
829,A09-47,3,121.147036,24.747476
830,A09-47,4,121.14368,24.74746
831,A09-47,5,121.139304,24.747041
832,A09-47,6,121.146391,24.745671
833,A09-47,7,121.148814,24.746815
839,A09-48,5,121.2693056,24.82061389
844,A09-50,3,121.43868,24.99904
845,A09-50,4,121.43871,24.99601
847,A09-50,6,121.4447,24.99894
848,A09-51,1,121.463814,25.167646
849,A09-51,2,121.4673,25.16649
850,A09-51,3,121.470749,25.165331
851,A09-51,4,121.472656,25.16332
852,A09-51,5,121.477026,25.162286
853,A09-51,6,121.47442,25.16602
854,A09-51,7,121.479436,25.167072
855,A09-51,8,121.480928,25.165596
856,A09-52,1,121.42415,25.18155
857,A09-52,2,121.42276,25.1772
858,A09-52,3,121.429588,25.17851
859,A09-52,4,121.42669,25.18117
860,A09-52,5,121.42794,25.18596
861,A09-52,6,121.43429,25.184166
862,A09-52,7,121.43006,25.19146
863,A09-52,8,121.42488,25.18807
864,A09-52,9,121.42266,25.18499
865,A09-52,10,121.418926,25.185312
866,A09-53,1,121.23167,24.82878
867,A09-53,2,121.2318889,24.82705556
868,A09-53,3,121.2339444,24.82869444
869,A09-53,4,121.2356944,24.82966667
871,A09-53,6,121.2396111,24.83055556
872,A09-53,7,121.2417222,24.83161111
873,A09-53,8,121.24433,24.83378
874,A09-53,9,121.2449722,24.83616667
875,A09-53,10,121.244,24.83922222
876,A09-54,1,121.25512,24.82072
877,A09-54,2,121.25331,24.82257
878,A09-54,3,121.24814,24.82316
879,A09-54,4,121.24554,24.81885
880,A09-54,5,121.2421444,24.81330278
881,A09-54,6,121.24542,24.81322
882,A09-54,7,121.24714,24.81512
883,A09-54,8,121.25059,24.81824
884,A09-55,1,121.24694,25.01004
885,A09-55,2,121.24361,25.00807
886,A09-55,3,121.24119,25.01107
887,A09-55,4,121.23969,25.01398
888,A09-55,5,121.23449,25.00964
889,A09-55,6,121.23681,25.01157
890,A09-56,1,121.48847,25.04667
891,A09-56,2,121.48411,25.04864
892,A09-56,3,121.48137,25.05218
893,A09-56,4,121.47957,25.05561
894,A09-56,5,121.47717,25.06052
895,A09-56,6,121.47577,25.06362
896,A09-56,7,121.47376,25.06364
897,A09-56,8,121.47272,25.06549
898,A09-57,1,121.45408,25.09814
899,A09-57,2,121.45207,25.09799
900,A09-57,3,121.4518,25.09577
901,A09-57,4,121.45428,25.09496
902,A09-57,5,121.45335,25.09187
903,A09-57,6,121.45259,25.09013
904,A09-57,7,121.45098,25.08896
905,A09-57,8,121.45016,25.09064
906,A09-58,1,121.29794,24.96827
907,A09-58,2,121.29885,24.96648
908,A09-58,3,121.29677,24.96447
911,A09-58,6,121.29305,24.96193
913,A09-60,1,121.04386,25.02004
914,A09-60,2,121.040947,25.017375
915,A09-60,3,121.043328,25.01725
916,A09-60,4,121.045998,25.019392
917,A09-60,5,121.042148,25.015892
918,A09-60,6,121.03756,25.01733
919,A09-60,7,121.033594,25.014983
920,A09-60,8,121.03466,25.01797
921,A09-60,9,121.034939,25.01995
922,A09-60,10,121.031602,25.016089
923,A10-01,1,121.3793083,24.891875
924,A10-01,2,121.3819111,24.89216667
925,A10-01,3,121.3812722,24.88988333
926,A10-01,4,121.3836972,24.89334444
927,A10-01,5,121.3802056,24.89405
929,A10-01,7,121.3821667,24.89457778
930,A10-01,8,121.38415,24.89522222
931,A10-01,9,121.3862333,24.89383611
932,A10-01,10,121.3885167,24.89310833
933,A10-02,1,121.3758333,24.69110833
934,A10-02,2,121.37805,24.68972222
935,A10-02,3,121.37805,24.68638889
936,A10-02,4,121.3774972,24.68306111
938,A10-02,6,121.3730583,24.67916944
939,A10-02,7,121.3702778,24.67749722
940,A10-02,8,121.3683333,24.67444167
941,A10-02,9,121.3658306,24.67416667
943,A10-03,1,121.4599111,24.84218333
944,A10-03,2,121.4620389,24.84177778
945,A10-03,3,121.4639806,24.84013056
947,A10-03,5,121.4657667,24.83665833
948,A10-03,6,121.4664944,24.83481389
949,A10-07,1,121.43444,24.86065
950,A10-07,2,121.436135,24.861602
951,A10-07,3,121.437574,24.859756
952,A10-07,4,121.438776,24.858244
954,A10-07,6,121.443273,24.856895
955,A10-07,7,121.444453,24.854824
956,A10-07,8,121.44634,24.854078
957,A10-07,9,121.447294,24.852297
958,A10-07,10,121.446921,24.850293
964,A10-10,6,121.3794278,24.82103889
971,A12-01,4,121.234475,24.764075
972,A12-01,5,121.2340833,24.76563056
973,A12-01,6,121.2419111,24.75346389
975,A12-01,8,121.2434694,24.75143056
976,A12-01,9,121.239275,24.75134722
977,A12-01,10,121.2388917,24.75271111
978,A12-02,1,121.236025,24.681025
979,A12-02,2,121.2372222,24.67944722
980,A12-02,3,121.2361111,24.67749722
985,A12-06,1,120.953048,24.534731
986,A12-06,2,120.953797,24.537639
988,A12-06,4,120.949571,24.541005
991,A16-01,1,121.617318,24.156243
992,A16-01,2,121.62175,24.159187
993,A16-01,3,121.623562,24.157274
994,A16-01,4,121.640677,24.150025
995,A16-01,6,121.616938,24.159161
996,A16-01,7,121.605077,24.158387
997,A16-02,1,121.597346,24.171862
