"Site_N","Year","BBS","Foresty"
"A19-04","2018","BBS",NA
"A19-04","2019","BBS",NA
"A19-04","2020","BBS",NA
"A19-04","2021","BBS",NA
"A19-04","2022","BBS",NA
"A19-05","2015","BBS",NA
"A19-05","2016","BBS",NA
"A19-05","2017","BBS",NA
"A19-05","2018","BBS",NA
"A19-05","2019","BBS",NA
"A19-05","2020","BBS",NA
"A19-05","2021","BBS",NA
"A19-05","2022","BBS",NA
"A19-06","2015","BBS",NA
"A19-06","2016","BBS",NA
"A19-06","2017","BBS",NA
"A19-06","2018","BBS",NA
"A19-06","2019","BBS",NA
"A19-06","2020","BBS",NA
"A19-06","2021","BBS",NA
"A19-06","2022","BBS",NA
"A20-01","2015","BBS",NA
"A20-01","2016","BBS",NA
"A20-01","2017","BBS",NA
"A20-01","2018","BBS",NA
"A20-01","2019","BBS",NA
"A20-01","2020","BBS",NA
"A20-01","2021","BBS",NA
"A20-01","2022","BBS",NA
"A20-02","2015","BBS",NA
"A20-02","2016","BBS",NA
"A20-02","2017","BBS",NA
"A20-02","2018","BBS",NA
"A20-02","2019","BBS",NA
"A20-02","2020","BBS",NA
"A20-02","2022","BBS",NA
"A20-03","2015","BBS",NA
"A20-03","2016","BBS",NA
"A20-03","2017","BBS",NA
"A20-03","2018","BBS",NA
"A20-03","2019","BBS",NA
"A20-03","2020","BBS",NA
"A20-03","2021","BBS",NA
"A20-03","2022","BBS",NA
"A20-04","2015","BBS",NA
"A20-04","2016","BBS",NA
"A20-04","2017","BBS",NA
"A20-04","2018","BBS",NA
"A20-04","2019","BBS",NA
"A20-04","2020","BBS",NA
"A20-04","2021","BBS",NA
"A20-04","2022","BBS",NA
"A20-05","2015","BBS",NA
"A20-05","2016","BBS",NA
"A20-05","2017","BBS",NA
"A20-05","2018","BBS",NA
"A20-05","2019","BBS",NA
"A20-05","2020","BBS",NA
"A20-05","2021","BBS",NA
"A20-05","2022","BBS",NA
"A21-01","2017","BBS",NA
"A21-01","2018","BBS",NA
"A21-01","2019","BBS",NA
"A21-01","2020","BBS",NA
"A21-01","2021","BBS",NA
"A21-01","2022","BBS",NA
"A21-02","2015","BBS",NA
"A21-02","2016","BBS",NA
"A21-02","2017","BBS",NA
"A21-02","2018","BBS",NA
"A21-02","2019","BBS",NA
"A21-02","2020","BBS",NA
"A21-02","2021","BBS",NA
"A21-02","2022","BBS",NA
"A22-01","2015","BBS",NA
"A22-01","2016","BBS",NA
"A22-01","2017","BBS",NA
"A22-01","2018","BBS",NA
"A22-01","2019","BBS",NA
"A22-01","2020","BBS",NA
"A22-01","2021","BBS",NA
"A22-01","2022","BBS",NA
"A22-02","2020",NA,"Foresty"
"A22-02","2021",NA,"Foresty"
"A22-02","2022",NA,"Foresty"
"A22-07","2015","BBS",NA
"A22-07","2016","BBS",NA
"A22-07","2017","BBS",NA
"A22-07","2018","BBS",NA
"A22-07","2019","BBS",NA
"A22-07","2020","BBS",NA
"A22-07","2021","BBS",NA
"A22-07","2022","BBS",NA
"A22-08","2015","BBS",NA
"A22-08","2016","BBS",NA
"A22-08","2017","BBS",NA
"A22-08","2018","BBS",NA
"A22-08","2019","BBS",NA
"A22-08","2020","BBS",NA
"A22-08","2021","BBS",NA
"A22-08","2022","BBS",NA
"A24-01","2015","BBS",NA
"A24-01","2016","BBS",NA
"A24-01","2018","BBS",NA
"A24-01","2019","BBS",NA
"A24-01","2020","BBS",NA
"A24-01","2021","BBS",NA
"A24-01","2022","BBS",NA
"A24-02","2015","BBS",NA
"A24-02","2016","BBS",NA
"A24-02","2017","BBS",NA
"A24-02","2018","BBS",NA
"A24-02","2019","BBS",NA
"A24-02","2020","BBS",NA
"A24-02","2021","BBS",NA
"A24-02","2022","BBS",NA
"A25-01","2015","BBS",NA
"A25-01","2016","BBS",NA
"A25-01","2017","BBS",NA
"A25-01","2018","BBS",NA
"A25-01","2019","BBS",NA
"A25-01","2020","BBS",NA
"A25-01","2021","BBS",NA
"A25-01","2022","BBS",NA
"A26-01","2015","BBS",NA
"A26-01","2016","BBS",NA
"A26-01","2017","BBS",NA
"A26-01","2018","BBS",NA
"A26-01","2019","BBS",NA
"A26-01","2020","BBS",NA
"A26-01","2021","BBS",NA
"A26-01","2022","BBS",NA
"A26-02","2015","BBS",NA
"A26-02","2016","BBS",NA
"A26-02","2017","BBS",NA
"A26-02","2018","BBS",NA
"A26-02","2019","BBS",NA
"A26-02","2020","BBS",NA
"A26-02","2021","BBS",NA
"A26-02","2022","BBS",NA
"A26-03","2015","BBS",NA
"A26-03","2016","BBS",NA
"A26-03","2017","BBS",NA
"A26-03","2018","BBS",NA
"A26-03","2019","BBS",NA
"A26-03","2020","BBS",NA
"A26-03","2021","BBS",NA
"A26-03","2022","BBS",NA
"A26-04","2015","BBS",NA
"A26-04","2016","BBS",NA
"A26-04","2017","BBS",NA
"A26-04","2018","BBS",NA
"A26-04","2019","BBS",NA
"A26-04","2020","BBS",NA
"A26-04","2021","BBS",NA
"A26-04","2022","BBS",NA
"A26-06","2020","BBS",NA
"A27-01","2015","BBS",NA
"A27-01","2016","BBS",NA
"A27-01","2017","BBS",NA
"A27-01","2018","BBS",NA
"A27-01","2019","BBS",NA
"A27-01","2020","BBS",NA
"A27-01","2021","BBS",NA
"A27-01","2022","BBS",NA
"A27-02","2015","BBS",NA
"A27-02","2016","BBS",NA
"A27-02","2017","BBS",NA
"A27-02","2018","BBS",NA
"A27-02","2019","BBS",NA
"A27-02","2020","BBS",NA
"A27-02","2021","BBS",NA
"A27-02","2022","BBS",NA
"A27-03","2015","BBS",NA
"A27-03","2016","BBS",NA
"A27-03","2017","BBS",NA
"A27-03","2018","BBS",NA
"A27-03","2019","BBS",NA
"A27-03","2020","BBS",NA
"A27-03","2021","BBS",NA
"A27-03","2022","BBS",NA
"A27-04","2015","BBS",NA
"A27-04","2016","BBS",NA
"A27-04","2017","BBS",NA
"A27-04","2018","BBS",NA
"A27-04","2019","BBS",NA
"A27-04","2020","BBS",NA
"A27-04","2021","BBS",NA
"A27-04","2022","BBS",NA
"A27-05","2015","BBS",NA
"A27-05","2016","BBS",NA
"A27-05","2017","BBS",NA
"A27-05","2018","BBS",NA
"A27-05","2019","BBS",NA
"A27-05","2020","BBS",NA
"A27-05","2021","BBS",NA
"A27-05","2022","BBS",NA
"A27-06","2015","BBS",NA
"A27-06","2016","BBS",NA
"A27-06","2017","BBS",NA
"A27-06","2018","BBS",NA
"A27-06","2019","BBS",NA
"A27-06","2020","BBS",NA
"A27-06","2021","BBS",NA
"A27-06","2022","BBS",NA
"A27-07","2015","BBS",NA
"A27-07","2016","BBS",NA
"A27-08","2016","BBS",NA
"A27-08","2022","BBS",NA
"A27-10","2015","BBS",NA
"A27-10","2016","BBS",NA
"A27-10","2017","BBS",NA
"A27-10","2018","BBS",NA
"A27-10","2019","BBS",NA
"A27-10","2020","BBS",NA
"A27-10","2021","BBS",NA
"A27-10","2022","BBS",NA
"A27-12","2015","BBS",NA
"A27-12","2016","BBS",NA
"A27-12","2017","BBS",NA
"A27-12","2018","BBS",NA
"A27-12","2019","BBS",NA
"A27-12","2020","BBS",NA
"A27-12","2021","BBS",NA
"A27-12","2022","BBS",NA
"A27-17","2016","BBS",NA
"A27-17","2018","BBS",NA
"A27-17","2019","BBS",NA
"A27-17","2020","BBS",NA
"A27-17","2022","BBS",NA
"A27-18","2015","BBS",NA
"A27-18","2016","BBS",NA
"A27-18","2017","BBS",NA
"A27-18","2018","BBS",NA
"A27-19","2015","BBS",NA
"A27-19","2016","BBS",NA
"A27-19","2017","BBS",NA
"A27-19","2018","BBS",NA
"A27-19","2019","BBS",NA
"A27-19","2020","BBS",NA
"A27-19","2021","BBS",NA
"A27-19","2022","BBS",NA
"A27-21","2020","BBS",NA
"A27-21","2021","BBS",NA
"A27-21","2022","BBS",NA
"A27-22","2015","BBS",NA
"A27-22","2016","BBS",NA
"A27-22","2017","BBS",NA
"A27-22","2018","BBS",NA
"A27-22","2019","BBS",NA
"A27-22","2020","BBS",NA
"A27-22","2021","BBS",NA
"A27-22","2022","BBS",NA
"A27-24","2015","BBS",NA
"A27-24","2016","BBS",NA
"A27-24","2017","BBS",NA
"A27-24","2018","BBS",NA
"A27-24","2019","BBS",NA
"A27-24","2020","BBS",NA
"A27-24","2021","BBS",NA
"A27-24","2022","BBS",NA
"A27-25","2015","BBS",NA
"A27-25","2016","BBS",NA
"A27-25","2017","BBS",NA
"A27-25","2018","BBS",NA
"A27-25","2019","BBS",NA
"A27-25","2020","BBS",NA
"A27-25","2021","BBS",NA
"A27-25","2022","BBS",NA
"A27-27","2015","BBS",NA
"A27-27","2016","BBS",NA
"A27-27","2018","BBS",NA
"A27-27","2019","BBS",NA
"A27-27","2020","BBS",NA
"A27-27","2022","BBS",NA
"A27-28","2015","BBS",NA
"A27-28","2016","BBS",NA
"A27-28","2018","BBS",NA
"A27-28","2019","BBS",NA
"A27-28","2020","BBS",NA
"A27-28","2022","BBS",NA
"A27-29","2015","BBS",NA
"A27-29","2016","BBS",NA
"A27-29","2018","BBS",NA
"A27-29","2019","BBS",NA
"A27-29","2020","BBS",NA
"A27-29","2022","BBS",NA
"A27-30","2017","BBS",NA
"A27-30","2018","BBS",NA
"A27-30","2019","BBS",NA
"A27-30","2020","BBS",NA
"A27-30","2021","BBS",NA
"A27-30","2022","BBS",NA
"A27-31","2015","BBS",NA
"A27-31","2016","BBS",NA
"A27-32","2015","BBS",NA
"A27-32","2017","BBS",NA
"A27-32","2018","BBS",NA
"A27-32","2019","BBS",NA
"A27-32","2020","BBS",NA
"A27-32","2021","BBS",NA
"A27-33","2015","BBS",NA
"A27-33","2016","BBS",NA
"A27-33","2017","BBS",NA
"A27-33","2018","BBS",NA
"A27-33","2019","BBS",NA
"A27-33","2020","BBS",NA
"A27-33","2022","BBS",NA
"A28-01","2016","BBS",NA
"A28-01","2017","BBS",NA
"A28-01","2018","BBS",NA
"A28-01","2019","BBS",NA
"A28-01","2020","BBS",NA
"A28-01","2022","BBS",NA
"A28-02","2016","BBS",NA
"A28-02","2018","BBS",NA
"A28-02","2019","BBS",NA
"A28-03","2016","BBS",NA
"A28-03","2017","BBS",NA
"A28-03","2018","BBS",NA
"A28-03","2019","BBS",NA
"A28-03","2020","BBS",NA
"A28-03","2021","BBS",NA
"A28-03","2022","BBS",NA
"A28-04","2015","BBS",NA
"A28-04","2016","BBS",NA
"A28-04","2017","BBS",NA
"A28-04","2018","BBS",NA
"A28-04","2019","BBS",NA
"A28-04","2020","BBS",NA
"A28-04","2021","BBS",NA
"A28-04","2022","BBS",NA
"A28-06","2015","BBS",NA
"A28-06","2016","BBS",NA
"A28-06","2017","BBS",NA
