"transect","Site_N","Year","Macaca_sur","elevation","edge","P_forest","P_farmland","Shannon","edge_length"
"A10-01-4","A10-01",2016,0,-0.561400106394071,0.417881533195173,-0.46235408791007,0.178506470636691,1.61037672340457,2.01276372007336
"A37-04-4","A37-04",2016,0,-0.784864877159836,0.0561511370634685,-1.23806418382611,2.90548920100638,1.53923782304151,0.637146109102969
"A09-22-1","A09-22",2016,0,-0.450851266899381,3.82514282559642,-1.12745048542253,1.93564421487357,1.83919339523442,1.70136919759556
"A20-05-1","A20-05",2016,0,0.363825758099514,-0.451109294556457,1.07542703798206,-0.494465891102436,-1.46838787453833,-1.10036012320572
"A21-02-7","A21-02",2017,0,-0.584244037891682,-0.032098269158616,-1.42738964377049,-0.494465891102436,-0.177461186936986,-0.0269775326501213
"A33-03-8","A33-03",2017,0,-0.68195468343746,0.636584638386725,-1.79167179981481,-0.200010961064333,-0.0536923617483633,0.958931211953353
"A12-06-4","A12-06",2017,0,-0.00904267003550895,-0.0722354763202281,0.149547469512243,-0.494465891102436,0.50267110220706,-0.495339994626426
"A32-01-4","A32-01",2017,0,-0.114218942631323,-0.0743686469760693,-0.592118322515745,-0.494465891102436,1.03422580429687,-0.117241218189087
"A33-01-2","A33-01",2017,0,-0.567024068017624,-0.116561121079042,0.0600249256051692,0.452031796743438,0.865343435115923,1.02864093851313
"A18-02-4","A18-02",2017,0,-0.724662210782661,-0.344634125402276,-1.76016114878258,2.30009516990739,1.29420852960892,0.0223959083731864
"A27-05-4","A27-05",2017,0,-0.692914810913782,0.0865248243760809,-0.947454816776267,1.12351658562492,1.49176624930287,0.72387683231777
"A01-02-4","A01-02",2017,0,-0.366030004273602,-0.0970715207061163,0.832700801687414,-0.494465891102436,-0.662573845499567,-0.727283380367523
"A16-01-7","A16-01",2017,0,-0.60028324883264,-0.513920552309371,0.986362660804216,-0.494465891102436,-1.14849236012175,-1.26526065487053
"A33-10-6","A33-10",2017,0,-0.744378837406593,-0.290035381324837,-1.79167179981481,1.85966854302843,0.943609130578268,0.757028853894234
"A20-02-10","A20-02",2017,0,-0.699355521009364,0.431707087791134,-0.845405624408871,2.13189092779046,1.68966010474242,1.30933110713029
"B38-08-8","B38-08",2017,0,0.637766380709551,NA,0.255802455844491,0.645431976893163,0.52757559906606,NA
"A33-04-7","A33-04",2017,0,-0.72950241238222,0.345813292566219,-1.79167179981481,0.365181248474142,1.01581577389067,3.18163372086164
"A27-12-4","A27-12",2017,0,-0.772983916970274,0.378018941226025,-1.79167179981481,1.31468054760128,1.56813344155255,2.91046927347097
"A18-03-7","A18-03",2017,0,-0.542154190797612,0.283531471034397,-1.29172887190729,-0.0286202118779987,1.37083726876099,2.15672733594673
"C37-04-6","C37-04",2017,0,2.102646854003,NA,0.445348282246324,-0.494465891102436,-0.0251809763548824,NA
"A19-03-6","A19-03",2017,0,-0.69743195322914,-0.00807166106444771,-0.973405936714772,-0.494465891102436,0.608381309720767,0.450009655624244
"A29-04-9","A29-04",2017,0,-0.586779598259582,0.0183073977004992,-1.04468872247905,-0.494465891102436,1.18892580602044,0.894150835359172
"A20-04-3","A20-04",2017,0,-0.027882486461335,-0.433713289713599,0.268636572300437,-0.494465891102436,-0.0950317682468,-0.96574218113389
"A32-04-1","A32-04",2017,0,0.034090294536069,-0.210837198776457,-0.111606754034555,-0.415285712742486,0.804180188737112,0.550456824758806
"A33-04-3","A33-04",2017,0,-0.731329403636991,0.171332955499459,-1.59939745551605,1.57681026086989,1.10024888183251,0.0758547907564044
"B28-01-9","B28-01",2017,0,0.943410039413525,NA,1.07542703798206,-0.494465891102436,-1.46838787453833,NA
"A01-03-8","A01-03",2017,0,-0.672206028276892,5.05970887039236,-1.42470603300709,0.34235485113766,1.42162491031972,3.30665745385764
"A04-06-8","A04-06",2018,0,-0.389241358830357,-0.138163299109301,0.823699012420358,-0.494465891102436,-0.640416142932246,-0.76228603793871
"A17-03-2","A17-03",2018,0,-0.515093425615027,-0.298711282270735,0.498320884512346,-0.494465891102436,-0.103483383706011,-0.647455755987926
"C37-03-5","C37-03",2018,0,3.22913410242295,NA,0.0657189678977358,1.7718368121783,0.0309481118544106,NA
"A19-02-2","A19-02",2018,0,-0.611408318549134,-0.147515397604182,-1.63789100944177,1.63161573330214,1.57917376361476,0.853278322303823
"A16-01-7","A16-01",2018,0,-0.60028324883264,-0.513920552309371,0.986362660804216,-0.494465891102436,-1.14849236012175,-1.26526065487053
"B38-08-8","B38-08",2018,0,0.637766380709551,NA,0.255802455844491,0.645431976893163,0.52757559906606,NA
"A19-04-4","A19-04",2018,0,-0.658844569290191,-0.257480347834464,-1.79167179981481,5.23476359770238,-0.493248809852859,-0.0486947062252676
"A22-07-5","A22-07",2018,0,-0.677700311173689,4.5836240966128,-0.291069015109602,-0.494465891102436,0.55864545740157,-0.390600836130782
"A09-04-3","A09-04",2018,0,-0.708237376259506,0.191242972799423,-1.02433523073298,-0.491398516885241,0.829740881752338,1.4102016296126
"A36-01-8","A36-01",2018,0,-0.433366251908355,-0.498477110474054,0.787140107034947,-0.494465891102436,-0.553261266203191,-0.717858620416713
"B32-04-7","B32-04",2018,0,1.62338158069488,NA,0.605803825515934,-0.494465891102436,-0.175496289586626,NA
"A02-03-7","A02-03",2018,0,-0.545073099682328,-0.124983827724447,0.238062830154135,-0.494465891102436,0.395269468128069,-0.447186186922671
"A35-05-8","A35-05",2018,0,-0.69491118078622,-0.119643909290985,-1.00109184030924,-0.494465891102436,0.947533277649438,0.882615426495885
"C14-03-2","C14-03",2018,0,2.97324612361668,NA,1.07542703798206,-0.494465891102436,-1.46838787453833,NA
"C14-04-8","C14-04",2018,0,1.91920833227683,NA,0.288328501446175,-0.494465891102436,0.329565831303055,NA
"A19-01-6","A19-01",2018,0,-0.385368060018019,-0.650984100058942,1.07542703798206,-0.494465891102436,-1.46838787453833,-1.34194269609105
"A18-02-4","A18-02",2018,0,-0.724662210782661,-0.344634125402276,-1.76016114878258,2.30009516990739,1.29420852960892,0.0223959083731864
"B37-02-7","B37-02",2018,0,1.96966928244286,NA,0.763247474298371,-0.494465891102436,-0.498580775432855,NA
"A24-02-2","A24-02",2018,0,-0.669827447420329,-0.172336310618119,-1.609680181854,2.24152613782754,0.950221940303491,-0.247835560944904
"A36-01-5","A36-01",2018,0,-0.488743618364221,-0.399879565022324,0.611291714878294,-0.494465891102436,-0.190731448676423,-0.441032477569465
"A18-04-9","A18-04",2018,0,-0.60489708142672,0.645874951433412,-0.129328290609187,-0.494465891102436,0.892345627717646,0.340297315282025
"A33-01-7","A33-01",2018,0,-0.616953790417019,-0.111947373140419,-0.549364932775258,0.440244060240135,1.43840064359275,1.02436415772315
"B14-02-2","B14-02",2018,0,1.31197063124831,NA,0.642688490640117,-0.494465891102436,-0.487773233181653,NA
"A29-13-10","A29-13",2018,0,-0.33536553552641,2.97139692832073,-1.01888523831743,-0.494465891102436,0.0352847496312088,-0.131892718528836
"A17-03-6","A17-03",2018,0,-0.259840190050242,-0.532299461382194,1.07542703798206,-0.494465891102436,-1.46838787453833,-1.21253172518689
"C14-04-6","C14-04",2018,0,2.01443119382773,NA,-0.39079717137135,0.166168663414924,1.36933205077366,NA
"A33-07-2","A33-07",2018,0,-0.550474104898475,-0.386360112656638,-1.30629958003456,-0.494465891102436,0.953718602759855,-0.237623891304877
"A09-03-5","A09-03",2018,0,-0.462187917696373,-0.234973810418379,0.701559251194668,0.285650799830769,-0.482289661404877,-0.523684707820876
"A10-01-1","A10-01",2018,0,-0.586854675417178,0.470835615077422,0.182535543011587,0.231663227560736,0.732116666677596,0.483485577455496
"C30-02-7","C30-02",2018,0,2.70325273944388,NA,-0.107384492559931,1.26755417652568,0.92898150407596,NA
