Altitude,S_all_X,S_all_Y
568.00000,120.84453,23.69034
612.00000,120.84136,23.6905
632.00000,120.84011,23.68885
658.00000,120.83878,23.6865
688.00000,120.83855,23.68926
717.00000,120.83876,23.69212
787.00000,120.83644,23.69155
812.00000,120.8344,23.69101
891.00000,120.8333,23.68891
933.00000,120.83198,23.69164
937.00000,120.83083,23.69384
952.00000,120.8298,23.6955
926.00000,120.82891,23.69741
951.00000,120.82624,23.6987
304.00000,120.80835,23.84092
336.00000,120.80728,23.843
412.00000,120.80889,23.84682
438.00000,120.81116,23.84713
492.00000,120.81221,23.8521
523.00000,120.81333,23.85492
461.00000,120.80989,23.85117
402.00000,120.8039,23.85184
346.00000,120.80246,23.84887
304.00000,120.80137,23.84635
1742.00000,121.44235,24.72456
1732.00000,121.44263,24.72733
1687.00000,121.44113,24.72956
1712.00000,121.43932,24.73066
1677.00000,121.43984,24.73232
1641.00000,121.44162,24.73406
1600.00000,121.44299,24.73619
1554.00000,121.44733,24.73758
1536.00000,121.44976,24.73919
1484.00000,121.42795,24.70913
1505.00000,121.42923,24.7107
1529.00000,121.43165,24.71002
1582.00000,121.43353,24.71066
1574.00000,121.43523,24.70978
1556.00000,121.43667,24.70929
1575.00000,121.43752,24.71027
1592.00000,121.43983,24.71016
1638.00000,121.43856,24.71162
1658.00000,121.43716,24.71319
2673.00000,121.22621,24.11304
2686.00000,121.22843,24.11395
2699.00000,121.23034,24.1157
2728.00000,121.23239,24.11635
2753.00000,121.23512,24.11742
2756.00000,121.23743,24.11751
2779.00000,121.23915,24.11912
2786.00000,121.24106,24.12076
2791.00000,121.24347,24.12062
2796.00000,121.24504,24.11872
2564.00000,121.30825,24.18223
2539.00000,121.30925,24.18434
2548.00000,121.31049,24.18577
2610.00000,121.31142,24.18746
2598.00000,121.31339,24.18731
2599.00000,121.31459,24.18881
2594.00000,121.31395,24.19052
2563.00000,121.31553,24.19179
2572.00000,121.31736,24.19225
2599.00000,121.31686,24.19429
2849.00000,121.25424,24.11779
2869.00000,121.25716,24.11894
2878.00000,121.2596,24.1195
2919.00000,121.26241,24.11967
2982.00000,121.26638,24.12162
3008.00000,121.26882,24.12062
3029.00000,121.2712,24.12132
3089.00000,121.27267,24.12307
3073.00000,121.27354,24.12128
3049.00000,121.275,24.12002
1248.00000,120.69344,23.47525
1216.00000,120.68953,23.47553
1157.00000,120.69244,23.47261
1106.00000,120.68806,23.47436
1063.00000,120.68414,23.47378
1008.00000,120.68281,23.47753
974.00000,120.68497,23.48078
938.00000,120.68544,23.484
911.00000,120.67489,23.47969
905.00000,120.67478,23.47808
376.00000,120.64649,23.17094
388.00000,120.64888,23.17523
378.00000,120.65027,23.17822
404.00000,120.65169,23.18637
409.00000,120.65435,23.19027
423.00000,120.65219,23.19673
435.00000,120.66025,23.19835
603.00000,120.49874,23.26241
593.00000,120.49955,23.26065
600.00000,120.50069,23.25943
607.00000,120.50001,23.25785
640.00000,120.50237,23.2607
610.00000,120.50436,23.26071
648.00000,120.50619,23.26187
670.00000,120.50814,23.26357
26.00000,120.61811,24.10518
26.00000,120.6173,24.10316
26.00000,120.61382,24.10261
30.00000,120.61935,24.10218
29.00000,120.62296,24.10069
28.00000,120.62551,24.09983
28.00000,120.62824,24.10082
28.00000,120.62678,24.10252
561.00000,120.86416,24.18972
554.00000,120.8625,24.18972
538.00000,120.86111,24.19056
525.00000,120.85945,24.19111
498.00000,120.85667,24.19278
503.00000,120.85667,24.19444
523.00000,120.85555,24.19555
542.00000,120.85666,24.19666
564.00000,120.85666,24.19806
511.00000,120.85806,24.19166
9.00000,120.257,22.9378
8.00000,120.25756,22.93584
8.00000,120.25729,22.93321
8.00000,120.25877,22.93125
8.00000,120.25662,22.92792
9.00000,120.26004,22.93508
9.00000,120.26085,22.93322
7.00000,120.25871,22.92916
84.00000,121.47296,23.83731
88.00000,121.47118,23.83864
163.00000,121.46939,23.84004
253.00000,121.46761,23.83801
325.00000,121.46665,23.83475
337.00000,121.46534,23.83642
410.00000,121.4648,23.83379
449.00000,120.86179,23.84768
378.00000,120.86536,23.8435
408.00000,120.85941,23.84069
375.00000,120.86418,23.83634
311.00000,120.86404,23.82637
299.00000,120.86107,23.82594
285.00000,120.85761,23.82295
323.00000,120.86604,23.83199
617.00000,120.86022,23.8537
666.00000,120.85809,23.85517
756.00000,120.85651,23.8559
786.00000,120.85483,23.85836
867.00000,120.85395,23.86052
922.00000,120.85126,23.86253
997.00000,120.85042,23.86568
1241.00000,121.15949,24.02886
1216.00000,121.15608,24.0278
1191.00000,121.16175,24.02951
1182.00000,121.16436,24.03004
1167.00000,121.16649,24.03043
1165.00000,121.16916,24.03054
1149.00000,121.17169,24.02986
1279.00000,121.16016,24.03164
1303.00000,121.16271,24.03269
1328.00000,121.16032,24.03371
449.00000,121.52893,24.88814
421.00000,121.53149,24.88892
401.00000,121.53297,24.89014
395.00000,121.53315,24.89186
352.00000,121.53305,24.89431
333.00000,121.53503,24.894
319.00000,121.53942,24.89717
370.00000,121.53941,24.89999
388.00000,121.54383,24.90209
333.00000,121.54341,24.90341
21.00000,121.68876,25.11066
26.00000,121.68625,25.11135
46.00000,121.68086,25.11569
57.00000,121.68092,25.12121
56.00000,121.67965,25.12441
70.00000,121.67382,25.13306
221.00000,121.29895,24.84769
249.00000,121.30133,24.84755
337.00000,121.30399,24.84746
283.00000,121.30616,24.84696
298.00000,121.30856,24.84725
331.00000,121.31074,24.8467
