X,Y,NO,join_TypeName,join_FunctionTy,join_Function,join_Area_ha,distance
120.56067,23.64061,"3,195",闊葉樹林型,,經改造天然林,315.579,14.0698850354018
120.56087,23.6429,"3,196",竹林,,生產性人工林,917.152,6.9482507916559
120.55483,23.64285,"3,197",闊葉樹林型,,生產性人工林,0.442989,196.022399719223
121.44209,24.72271,"3,198",闊葉樹林型,"2222",原生林,869.224,0
121.44172,24.72078,"3,199",針葉樹林型,"2212",保護性人工林,2385.24,0
121.44036,24.71936,"3,200",闊葉樹林型,"2222",原生林,869.224,0
120.88697,23.5886,"3,201",針闊葉樹混淆,"2211",生產性人工林,1217.44,0
120.88895,23.58886,"3,202",闊葉樹林型,"2221",經改造天然林,3574.59,0
120.88851,23.5915,"3,203",闊葉樹林型,"2221",經改造天然林,3574.59,0
120.89045,23.58767,"3,204",闊葉樹林型,"2221",經改造天然林,46290.7,33.1546985207266
120.88648,23.58672,"3,205",闊葉樹林型,"2221",經改造天然林,213771,0.314348891914401
120.88492,23.58506,"3,206",竹闊混淆林,"2221",經改造天然林,33.0109,16.0427396263543
120.85854,23.7702,"3,207",竹林,"2211",生產性人工林,16093.4,4.15052925224103
120.85736,23.76801,"3,208",闊葉樹林型,"2221",經改造天然林,103298,1.65404315659285
120.85615,23.76607,"3,209",闊葉樹林型,"2221",經改造天然林,6026.45,18.0703476952825
120.8557,23.76338,"3,210",闊葉樹林型,"2221",經改造天然林,3553.65,109.983610690711
120.85563,23.76132,"3,211",闊葉樹林型,"2221",經改造天然林,3553.65,2.84919666516604
120.85831,23.7629,"3,212",竹闊混淆林,"2211",生產性人工林,2286.28,86.5586932452521
120.79555,23.76161,"3,213",闊葉樹林型,"2221",經改造天然林,213771,0
120.79304,23.76139,"3,214",竹闊混淆林,"2211",生產性人工林,632.956,0
120.79071,23.76239,"3,215",竹闊混淆林,"2211",生產性人工林,632.956,0
120.78939,23.76375,"3,216",竹林,,經改造天然林,2492.17,35.2329843996705
120.78899,23.76149,"3,217",闊葉樹林型,"2221",經改造天然林,46290.7,0
120.78761,23.76529,"3,218",竹林,,經改造天然林,2492.17,38.3529526844616
120.86123,23.80882,"3,219",闊葉樹林型,"2221",經改造天然林,46290.7,1.54896525716438
120.86027,23.80536,"3,220",闊葉樹林型,"2221",經改造天然林,213771,0
120.85935,23.80706,"3,221",闊葉樹林型,,經改造天然林,2737.78,9.67238777636407
120.85627,23.8067,"3,222",闊葉樹林型,,經改造天然林,1178.37,18.589284272614
120.85661,23.80483,"3,223",闊葉樹林型,,經改造天然林,1178.37,14.7411008037063
120.85885,23.80224,"3,224",闊葉樹林型,,經改造天然林,2737.78,184.353009246003
121.40355,23.62116,"3,225",闊葉樹林型,,經改造天然林,3851.16,0
121.41664,23.61477,"3,226",闊葉樹林型,,經改造天然林,3851.16,304.341570391562
121.4151,23.61329,"3,227",闊葉樹林型,,經改造天然林,3851.16,267.626685516283
121.41923,23.61931,"3,228",闊葉樹林型,,經改造天然林,3851.16,0
121.41393,23.61973,"3,229",闊葉樹林型,,經改造天然林,3851.16,0
121.40922,23.61324,"3,230",闊葉樹林型,,經改造天然林,3851.16,5.87055290868893
121.61661,23.9938,"3,231",闊葉樹林型,,經改造天然林,3851.16,29.0842603670419
121.61418,24.00073,"3,232",闊葉樹林型,"2221",經改造天然林,103298,1.61501569675459
