"X","Y","NO"
120.84162,24.53078,683
120.84432,24.53236,684
120.52417,23.70111,685
120.51944,23.7025,686
120.51917,23.69833,687
120.51381,23.70461,688
120.51639,23.70381,689
120.51111,23.70306,690
120.67342,23.98461,691
120.67084,23.98694,692
120.66772,23.98872,693
120.66936,23.99158,694
120.67289,23.98911,695
120.669,23.99598,696
120.67275,23.99683,697
120.67625,23.99448,698
120.67756,23.99075,699
120.67639,23.98642,700
120.69506,23.97281,701
120.7015,23.97452,702
120.70131,23.9717,703
120.69823,23.97036,704
120.6983,23.96748,705
120.70069,23.96822,706
120.70731,23.97311,707
120.70589,23.97633,708
120.70347,23.97659,709
120.69803,23.97739,710
121.48692,24.62412,711
121.48644,24.62654,712
121.489,24.63207,713
121.48476,24.63234,714
121.48171,24.63157,715
121.47924,24.63462,716
121.48098,24.63828,717
121.48309,24.64139,718
121.48297,24.64421,719
120.31644,22.73213,720
120.31649,22.73497,721
120.31378,22.73588,722
120.31277,22.73304,723
120.31038,22.73612,724
120.30907,22.73292,725
120.30586,22.73166,726
120.3044,22.73382,727
120.56138,24.04894,728
120.56165,24.04255,729
120.56447,24.04117,730
120.56957,24.04132,731
120.56809,24.04632,732
120.56705,24.04375,733
120.56271,24.0444,734
120.67256,24.0059,735
120.66916,24.00745,736
120.66884,24.01057,737
120.66678,24.01692,738
120.66929,24.01518,739
120.67179,24.01375,740
120.67425,24.01185,741
120.67289,24.0104,742
120.67741,24.01002,743
120.6807,24.01193,744
120.84453,23.69034,745
120.84136,23.6905,746
120.84011,23.68885,747
120.83878,23.6865,748
120.83855,23.68926,749
120.83876,23.69212,750
120.83644,23.69155,751
120.8344,23.69101,752
120.8333,23.68891,753
120.83198,23.69164,754
120.83083,23.69384,755
120.8298,23.6955,756
120.82891,23.69741,757
120.82624,23.6987,758
120.80835,23.84092,759
120.80728,23.843,760
120.80889,23.84682,761
120.81116,23.84713,762
120.81221,23.8521,763
120.81333,23.85492,764
120.80989,23.85117,765
120.8039,23.85184,766
120.80246,23.84887,767
120.80137,23.84635,768
121.44235,24.72456,769
121.44263,24.72733,770
121.44113,24.72956,771
121.43932,24.73066,772
121.43984,24.73232,773
121.44162,24.73406,774
121.44299,24.73619,775
121.44733,24.73758,776
121.44976,24.73919,777
121.42795,24.70913,778
121.42923,24.7107,779
121.43165,24.71002,780
121.43353,24.71066,781
121.43523,24.70978,782
121.43667,24.70929,783
121.43752,24.71027,784
121.43983,24.71016,785
121.43856,24.71162,786
121.43716,24.71319,787
121.22621,24.11304,788
121.22843,24.11395,789
121.23034,24.1157,790
121.23239,24.11635,791
121.23512,24.11742,792
121.23743,24.11751,793
121.23915,24.11912,794
121.24106,24.12076,795
121.24347,24.12062,796
121.24504,24.11872,797
121.30825,24.18223,798
121.30925,24.18434,799
121.31049,24.18577,800
121.31142,24.18746,801
121.31339,24.18731,802
121.31459,24.18881,803
121.31395,24.19052,804
121.31553,24.19179,805
121.31736,24.19225,806
121.31686,24.19429,807
121.25424,24.11779,808
121.25716,24.11894,809
121.2596,24.1195,810
121.26241,24.11967,811
121.26638,24.12162,812
121.26882,24.12062,813
121.2712,24.12132,814
121.27267,24.12307,815
121.27354,24.12128,816
121.275,24.12002,817
120.69344,23.47525,818
120.68953,23.47553,819
120.69244,23.47261,820
120.68806,23.47436,821
120.68414,23.47378,822
120.68281,23.47753,823
120.68497,23.48078,824
120.68544,23.484,825
120.67489,23.47969,826
120.67478,23.47808,827
120.64649,23.17094,828
120.64888,23.17523,829
120.65027,23.17822,830
120.65169,23.18637,831
120.65435,23.19027,832
120.65219,23.19673,833
120.66025,23.19835,834
120.49874,23.26241,835
120.49955,23.26065,836
120.50069,23.25943,837
120.50001,23.25785,838
120.50237,23.2607,839
120.50436,23.26071,840
120.50619,23.26187,841
120.50814,23.26357,842
120.61811,24.10518,843
120.6173,24.10316,844
120.61382,24.10261,845
120.61935,24.10218,846
120.62296,24.10069,847
120.62551,24.09983,848
120.62824,24.10082,849
120.62678,24.10252,850
120.86416,24.18972,851
120.8625,24.18972,852
120.86111,24.19056,853
120.85945,24.19111,854
120.85667,24.19278,855
120.85667,24.19444,856
120.85555,24.19555,857
120.85666,24.19666,858
120.85666,24.19806,859
120.85806,24.19166,860
120.257,22.9378,861
120.25756,22.93584,862
120.25729,22.93321,863
120.25877,22.93125,864
120.25662,22.92792,865
120.26004,22.93508,866
120.26085,22.93322,867
120.25871,22.92916,868
121.47296,23.83731,869
121.47118,23.83864,870
121.46939,23.84004,871
121.46761,23.83801,872
121.46665,23.83475,873
121.46534,23.83642,874
121.4648,23.83379,875
120.86179,23.84768,876
120.86536,23.8435,877
120.85941,23.84069,878
120.86418,23.83634,879
120.86404,23.82637,880
120.86107,23.82594,881
120.85761,23.82295,882
120.86604,23.83199,883
120.86022,23.8537,884
120.85809,23.85517,885
120.85651,23.8559,886
120.85483,23.85836,887
120.85395,23.86052,888
120.85126,23.86253,889
120.85042,23.86568,890
121.15949,24.02886,891
121.15608,24.0278,892
121.16175,24.02951,893
121.16436,24.03004,894
121.16649,24.03043,895
121.16916,24.03054,896
121.17169,24.02986,897
121.16016,24.03164,898
121.16271,24.03269,899
121.16032,24.03371,900
121.52893,24.88814,901
121.53149,24.88892,902
121.53297,24.89014,903
121.53315,24.89186,904
121.53305,24.89431,905
121.53503,24.894,906
121.53942,24.89717,907
121.53941,24.89999,908
121.54383,24.90209,909
121.54341,24.90341,910
121.68876,25.11066,911
121.68625,25.11135,912
121.68086,25.11569,913
121.68092,25.12121,914
121.67965,25.12441,915
121.67382,25.13306,916
121.29895,24.84769,917
121.30133,24.84755,918
121.30399,24.84746,919
121.30616,24.84696,920
121.30856,24.84725,921
121.31074,24.8467,922
121.18748,24.10156,923
121.1917,24.10174,924
121.19561,24.10454,925
121.1999,24.10979,926
121.19709,24.10788,927
121.19521,24.11226,928
121.19198,24.11499,929
121.19833,24.11228,930
121.19333,24.10576,931
121.18914,24.10284,932
