X,Y,NO,join_TypeName,join_FunctionTy,join_Function,join_Area_ha,distance
121.05789,24.739,"145",針闊葉樹混淆,"1100",原生林,1395.58,0
121.05467,24.73883,"146",竹闊混淆林,"2211",生產性人工林,2286.28,4.72298291937118
121.05406,24.73511,"147",闊葉樹林型,"2211",生產性人工林,1907.86,2.42935954456483
121.05258,24.73169,"148",竹林,,經改造天然林,4025.86,9.32199929889721
121.04897,24.72892,"149",闊葉樹林型,"2221",經改造天然林,17009.5,0
121.04633,24.72744,"150",闊葉樹林型,"2221",經改造天然林,17009.5,0
121.53784,24.93597,"151",闊葉樹林型,,經改造天然林,3766.74,0
121.53679,24.93389,"152",闊葉樹林型,,經改造天然林,3766.74,0
121.53552,24.93534,"153",闊葉樹林型,,經改造天然林,3766.74,5.49594421716506
121.5348,24.93699,"154",闊葉樹林型,,經改造天然林,3766.74,0
121.533,24.93845,"155",闊葉樹林型,,經改造天然林,3766.74,0
121.53123,24.9353,"156",闊葉樹林型,,經改造天然林,3766.74,0.0564996080759917
121.53263,24.93373,"157",闊葉樹林型,,經改造天然林,3766.74,0
121.53335,24.93185,"158",闊葉樹林型,,經改造天然林,3766.74,0
121.53401,24.93034,"159",闊葉樹林型,,經改造天然林,3766.74,0
121.53406,24.92844,"160",闊葉樹林型,,經改造天然林,3766.74,3.93420295743044
121.5377,24.94072,"161",竹林,,生產性人工林,1597.87,1.53166542749203
121.5388,24.93916,"162",竹林,,生產性人工林,1597.87,1.96411309265552
121.54079,24.93886,"163",竹林,,生產性人工林,1597.87,0.564243100033851
121.54185,24.94049,"164",竹林,,生產性人工林,1597.87,16.8679577234931
121.54243,24.94223,"165",竹林,,生產性人工林,1597.87,0.232118169978112
121.54044,24.94242,"166",竹林,,生產性人工林,1597.87,6.34649261924579
120.587,23.3025,"167",闊葉樹林型,,經改造天然林,1325.36,142.141920159019
120.58631,23.29999,"168",闊葉樹林型,,經改造天然林,1325.36,0
120.58482,23.29879,"169",闊葉樹林型,,經改造天然林,1325.36,95.9675142466326
120.58472,23.29695,"170",闊葉樹林型,,經改造天然林,1325.36,9.19000172069372
120.58454,23.29512,"171",闊葉樹林型,,經改造天然林,1325.36,58.4406311252916
120.58442,23.29325,"172",竹林,,經改造天然林,2402.34,4.82542959166602
120.58315,23.29194,"173",竹林,,經改造天然林,2402.34,71.9076410277428
120.58109,23.29157,"174",闊葉樹林型,,經改造天然林,1325.36,236.886323561654
121.43444,24.86065,"175",闊葉樹林型,,經改造天然林,3766.74,0
121.43614,24.8616,"176",闊葉樹林型,,經改造天然林,3766.74,0
121.43757,24.85976,"177",闊葉樹林型,,經改造天然林,3766.74,0
121.43878,24.85824,"178",闊葉樹林型,,經改造天然林,3766.74,0
121.441,24.85736,"179",竹林,,生產性人工林,1597.87,0
121.44327,24.85689,"180",闊葉樹林型,,經改造天然林,3766.74,0
121.44445,24.85483,"181",闊葉樹林型,"2221",經改造天然林,10998,0
121.44634,24.85408,"182",闊葉樹林型,"2221",經改造天然林,10998,0
121.44729,24.8523,"183",闊葉樹林型,"2221",經改造天然林,10998,0
121.44692,24.85029,"184",闊葉樹林型,"2221",經改造天然林,10998,0
120.7478,24.03368,"185",闊葉樹林型,"2221",經改造天然林,17009.5,54.9295819960432
120.74201,24.03495,"186",闊葉樹林型,,經改造天然林,2465.49,0
120.74231,24.03659,"187",闊葉樹林型,"2221",經改造天然林,103298,0
120.74496,24.03703,"188",竹闊混淆林,"2221",經改造天然林,32.5289,11.8963813413508
120.74876,24.03774,"189",竹林,"2211",生產性人工林,7529.14,9.67555814247798
120.75239,24.03728,"190",竹闊混淆林,"2211",生產性人工林,9119.5,0
120.75432,24.0384,"191",竹闊混淆林,"2211",生產性人工林,9119.5,0
120.75705,24.03793,"192",竹闊混淆林,"2211",生產性人工林,9119.5,0
120.75461,24.03449,"193",竹闊混淆林,"2211",生產性人工林,1032.32,21.5976982311972
120.75254,24.03409,"194",竹闊混淆林,"2211",生產性人工林,13227.2,118.80391737871
120.66253,24.09362,"195",闊葉樹林型,,生產性人工林,0.301878,163.958475928752
120.65959,24.09295,"196",闊葉樹林型,,生產性人工林,0.455987,117.209062536723
120.66066,24.09101,"197",闊葉樹林型,,生產性人工林,0.455987,45.5564114209117
120.66245,24.08889,"198",闊葉樹林型,,生產性人工林,0.152119,32.24033079203
120.66011,24.08799,"199",闊葉樹林型,,生產性人工林,0.220313,153.043951332199
120.65703,24.08823,"200",闊葉樹林型,,生產性人工林,0.640683,178.508623622091
120.65356,24.09315,"201",闊葉樹林型,,生產性人工林,0.804608,115.143192200072
120.65132,24.09382,"202",闊葉樹林型,,生產性人工林,0.804608,118.887111675252
121.36369,24.81118,"203",竹林,"2211",生產性人工林,269.586,0
121.368,24.81236,"204",竹林,"2211",生產性人工林,269.586,0
121.36962,24.813,"205",針闊葉樹混淆,"2211",生產性人工林,448.869,0.736320198625297
121.37158,24.81549,"206",竹林,"2211",生產性人工林,269.586,0
121.37558,24.8202,"207",竹林,"2211",生產性人工林,269.586,1.00281226077898
121.37943,24.82104,"208",闊葉樹林型,"2222",原生林,2116.27,0
121.38258,24.82532,"209",竹林,"2211",生產性人工林,9086.67,0
121.38631,24.81256,"210",竹林,"2211",生產性人工林,13139.1,0
121.37883,24.81319,"211",竹闊混淆林,"2211",生產性人工林,9119.5,4.11302814809561
121.52057,25.12999,"212",闊葉樹林型,,經改造天然林,43.3641,0
121.51904,25.12806,"213",闊葉樹林型,,經改造天然林,43.3641,0
121.51931,25.12602,"214",闊葉樹林型,,經改造天然林,43.3641,0
121.52024,25.12446,"215",闊葉樹林型,,經改造天然林,43.3641,0
121.51711,25.12457,"216",闊葉樹林型,,經改造天然林,43.3641,0.468844033515552
121.51681,25.12615,"217",闊葉樹林型,,經改造天然林,15.3993,0
121.51761,25.1276,"218",闊葉樹林型,,經改造天然林,15.3993,0
121.51814,25.13077,"219",闊葉樹林型,,經改造天然林,43.3641,0
121.48966,25.07926,"220",闊葉樹林型,,生產性人工林,0.466403,559.90971130456
121.49131,25.08146,"221",闊葉樹林型,,生產性人工林,0.466403,592.727493229764
121.48736,25.08378,"222",闊葉樹林型,,生產性人工林,0.143521,294.160874352991
121.48912,25.08829,"223",闊葉樹林型,,生產性人工林,0.143521,639.427451554857
121.49353,25.08651,"224",闊葉樹林型,,生產性人工林,0.143521,953.87320792207
121.4941,25.08439,"225",闊葉樹林型,,生產性人工林,0.466403,778.719388154658
120.95305,24.53446,"226",闊葉樹林型,"1100",原生林,369060,1.11423817342989
120.9538,24.53764,"227",闊葉樹林型,"2221",經改造天然林,954.47,0
