Site_N,Point,Year,Survey,Macaca_sur,Macaca_dist,Time,TypeName,Distance,Do.survey,TypeName.1,Altitude,County,x,y,Pointid
A26-01,6,2016,2,1,A,B,闊葉樹林型,0,1,闊葉林,A,屏東縣,120.8471333,22.02556944,A26-01-06
A26-02,1,2016,2,0,B,B,闊葉樹林型,17.23302809,1,闊葉林,A,屏東縣,120.8460278,21.98898056,A26-02-01
A26-04,5,2016,1,0,A,A,闊葉樹林型,0,1,闊葉林,A,屏東縣,120.8256083,21.95391667,A26-04-05
A26-04,6,2016,1,1,A,A,闊葉樹林型,0,1,闊葉林,A,屏東縣,120.8231611,21.95323611,A26-04-06
A26-04,2,2016,2,0,B,A,闊葉樹林型,0,1,闊葉林,A,屏東縣,120.8224083,21.95935,A26-04-02
A26-04,6,2016,2,1,A,A,闊葉樹林型,0,1,闊葉林,A,屏東縣,120.8231611,21.95323611,A26-04-06
A32-02,8,2016,2,0,A,B,竹林,0,1,竹林,A,南投縣,120.899225,23.860665,A32-02-08
A32-02,2,2016,2,1,A,A,竹闊混淆林,0.79744206,1,混淆林,A,南投縣,120.898896,23.854552,A32-02-02
A33-08,8,2016,2,1,B,A,竹闊混淆林,10.63955739,1,混淆林,A,雲林縣,120.632723,23.702403,A33-08-08
A33-08,3,2016,2,1,B,B,竹闊混淆林,0,1,混淆林,A,雲林縣,120.634926,23.700024,A33-08-03
A33-08,2,2016,2,1,A,A,竹闊混淆林,0,1,混淆林,A,雲林縣,120.632045,23.699196,A33-08-02
A33-08,5,2016,2,1,A,B,竹林,0.65133862,1,竹林,A,雲林縣,120.626585,23.701937,A33-08-05
A33-08,10,2016,2,1,A,A,竹闊混淆林,0,1,混淆林,A,雲林縣,120.624221,23.698716,A33-08-10
A34-49,9,2016,1,0,C,B,闊葉樹林型,0,1,闊葉林,A,高雄市,120.4542861,22.82523611,A34-49-09
A37-01,7,2016,2,1,A,A,闊葉樹林型,0,1,闊葉林,A,高雄市,120.660246,23.198346,A37-01-07
B06-01,5,2016,1,0,A,A,竹林,0,1,竹林,B,宜蘭縣,121.4847639,24.63233611,B06-01-05
B06-07,5,2016,2,0,C,A,針葉樹林型,0,1,針葉林,B,宜蘭縣,121.4123722,24.58405,B06-07-05
B06-07,4,2016,1,0,C,A,針葉樹林型,0,1,針葉林,B,宜蘭縣,121.4124333,24.58175556,B06-07-04
B14-02,7,2016,1,1,A,A,闊葉樹林型,0,1,闊葉林,B,台中市,121.302709,24.384437,B14-02-07
B21-01,10,2016,1,1,A,A,闊葉樹林型,0,1,闊葉林,B,台東縣,120.9911167,23.24472778,B21-01-10
B30-02,9,2016,1,1,A,A,闊葉樹林型,0,1,闊葉林,B,南投縣,121.1316917,23.98596389,B30-02-09
B30-04,9,2016,1,1,B,B,闊葉樹林型,0,1,闊葉林,B,南投縣,121.193332,24.105758,B30-04-09
B33-01,3,2016,1,1,C,B,針葉樹林型,12.86658488,1,針葉林,B,雲林縣,120.6899167,23.60244444,B33-01-03
B33-01,4,2016,1,1,C,B,針葉樹林型,0,1,針葉林,B,雲林縣,120.6920556,23.60269444,B33-01-04
B35-01,3,2016,1,1,B,A,闊葉樹林型,0,1,闊葉林,B,嘉義縣,120.6924444,23.47261111,B35-01-03
B38-07,3,2016,2,0,A,A,針葉樹林型,0,1,針葉林,B,高雄市,120.777368,23.086275,B38-07-03
B38-07,4,2016,2,1,A,B,闊葉樹林型,11.07142214,1,闊葉林,B,高雄市,120.779503,23.088346,B38-07-04
B38-07,6,2016,2,0,B,B,闊葉樹林型,0,1,闊葉林,B,高雄市,120.785239,23.090313,B38-07-06
B38-08,1,2016,1,1,A,A,闊葉樹林型,0,1,闊葉林,B,高雄市,120.716478,23.039814,B38-08-01
B38-08,2,2016,1,0,A,A,闊葉樹林型,0.1904441,1,闊葉林,B,高雄市,120.717304,23.041874,B38-08-02
C14-01,1,2016,1,0,B,B,待成林地,0,1,,C,台中市,121.27953,24.38999,C14-01-01
C14-02,2,2016,1,1,B,A,針葉樹林型,5.6020991,1,針葉林,C,台中市,121.262191,24.389867,C14-02-02
C30-02,4,2016,2,1,A,A,針葉樹林型,0,1,針葉林,C,南投縣,121.286708,24.160147,C30-02-04
C30-04,3,2016,2,1,B,B,針葉樹林型,0,1,針葉林,C,南投縣,121.259601,24.119502,C30-04-03
A03-09,6,2016,2,1,B,A,闊葉樹林型,1.05231867,1,闊葉林,A,宜蘭縣,121.8339833,24.60323611,A03-09-06
A19-03,1,2017,1,1,B,A,闊葉樹林型,1.29190584,1,闊葉林,A,花蓮縣,121.4198222,23.49683889,A19-03-01
A19-03,4,2017,1,1,A,A,闊葉樹林型,0,1,闊葉林,A,花蓮縣,121.4250472,23.49631944,A19-03-04
A17-14,2,2017,1,1,A,A,闊葉樹林型,0,1,闊葉林,A,花蓮縣,121.5742806,24.02192222,A17-14-02
A17-14,6,2017,1,1,A,A,闊葉樹林型,0,1,闊葉林,A,花蓮縣,121.5684194,24.01992778,A17-14-06
A17-14,2,2017,2,1,A,A,闊葉樹林型,0,1,闊葉林,A,花蓮縣,121.5742806,24.02192222,A17-14-02
A17-14,4,2017,2,1,A,A,闊葉樹林型,2.71164264,1,闊葉林,A,花蓮縣,121.571975,24.01868889,A17-14-04
B28-01,7,2017,1,0,B,B,闊葉樹林型,0,1,闊葉林,B,台中市,120.9334194,24.24770833,B28-01-07
B33-01,1,2017,2,1,B,A,竹林,1.81996542,1,竹林,B,雲林縣,120.6934722,23.60680556,B33-01-01
B38-07,3,2017,1,1,B,A,針葉樹林型,0,1,針葉林,B,高雄市,120.777368,23.086275,B38-07-03
B38-07,6,2017,1,1,A,A,闊葉樹林型,0,1,闊葉林,B,高雄市,120.785239,23.090313,B38-07-06
B38-07,7,2017,1,1,B,A,闊葉樹林型,0,1,闊葉林,B,高雄市,120.786511,23.088716,B38-07-07
B38-07,1,2017,2,1,B,A,針葉樹林型,0,1,針葉林,B,高雄市,120.774526,23.081656,B38-07-01
B38-07,5,2017,2,1,B,B,闊葉樹林型,0,1,闊葉林,B,高雄市,120.782371,23.089135,B38-07-05
A25-01,3,2017,1,1,C,A,闊葉樹林型,0,1,闊葉林,A,台東縣,120.9172361,22.44394444,A25-01-03
A25-01,7,2017,1,1,B,A,闊葉樹林型,0.16088098,1,闊葉林,A,台東縣,120.9211278,22.45047222,A25-01-07
A18-03,7,2017,1,0,A,A,竹闊混淆林,66.12670668,1,混淆林,A,花蓮縣,121.37056,23.61245,A18-03-07
A18-01,8,2017,1,1,A,A,闊葉樹林型,0,1,闊葉林,A,花蓮縣,121.377885,23.712412,A18-01-08
A18-01,10,2017,1,1,B,A,闊葉樹林型,1.64960789,1,闊葉林,A,花蓮縣,121.374202,23.71411,A18-01-10
A18-01,7,2017,2,1,B,B,闊葉樹林型,0,1,闊葉林,A,花蓮縣,121.37997,23.711043,A18-01-07
A18-01,8,2017,2,0,B,A,闊葉樹林型,0,1,闊葉林,A,花蓮縣,121.377885,23.712412,A18-01-08
A32-02,7,2017,1,1,A,A,闊葉樹林型,0.67741024,1,闊葉林,A,南投縣,120.890389,23.860352,A32-02-07
A33-08,5,2017,1,1,B,A,竹林,0.65133862,1,竹林,A,雲林縣,120.626585,23.701937,A33-08-05
A33-08,2,2017,1,1,B,A,竹闊混淆林,0,1,混淆林,A,雲林縣,120.632045,23.699196,A33-08-02
A33-08,3,2017,2,1,B,A,竹闊混淆林,0,1,混淆林,A,雲林縣,120.634926,23.700024,A33-08-03
A33-08,2,2017,2,1,C,B,竹闊混淆林,0,1,混淆林,A,雲林縣,120.632045,23.699196,A33-08-02
A33-08,4,2017,2,1,B,A,竹林,0,1,竹林,A,雲林縣,120.627131,23.706516,A33-08-04
A32-02,7,2017,2,1,B,B,闊葉樹林型,0.67741024,1,闊葉林,A,南投縣,120.890389,23.860352,A32-02-07
A37-01,3,2017,1,0,C,A,針葉樹林型,22.62345281,1,針葉林,A,高雄市,120.65027,23.17822,A37-01-03
A37-01,4,2017,1,0,B,A,竹闊混淆林,34.25998453,1,混淆林,A,高雄市,120.65169,23.18637,A37-01-04
A37-01,1,2017,2,1,C,A,竹闊混淆林,44.28786012,1,混淆林,A,高雄市,120.64649,23.17094,A37-01-01
A37-01,6,2017,2,1,B,A,竹林,52.01383013,1,竹林,A,高雄市,120.65219,23.19673,A37-01-06
A33-37,1,2017,2,1,A,A,竹林,7.159018687,1,竹林,A,南投縣,120.79711,23.7275,A33-37-01
