nid,原始紀錄物種,數量,數量單位,觀測年,觀測月,觀測日,觀測時,觀測分,原始X座標,原始Y座標,經度(十進位),緯度(十進位),原始空間參考系統,樣區代碼,樣點代號,地點,記錄者,觀測方式,照片檔名
23064178,臺灣獼猴,1,群,2024,5,7,10,2,253636,2519785,121.0354115,22.77875687,TWD97,MA-H32-06,2,台東8林班,吳清良;尤如成,人為觀測,
23064179,臺灣獼猴,1,群,2024,5,7,9,27,253567,2519197,121.0347381,22.7734468,TWD97,MA-H32-06,5,台東8林班,吳清良;尤如成,人為觀測,
23064180,臺灣獼猴,1,群,2024,5,8,9,10,248633,2505547,120.986699,22.650176,TWD97,MA-H32-11,4,19號巡邏箱,王群;陳雅憫,人為觀測,
23064181,臺灣獼猴,1,群,2024,5,17,7,30,268388,2562954,121.1795971,23.16850757,TWD97,MA-H33-01,4,龍泉,王志傑;邱金泉,人為觀測,
23064182,臺灣獼猴,1,群,2024,5,16,8,11,260698,2541212,121.1043369,22.9722311,TWD97,MA-H33-07,1,武陵,陳國華,人為觀測,
23064183,臺灣獼猴,1,群,2024,5,6,10,0,268426,2534141,121.179623,22.90830708,TWD97,MA-H33-11,6,鸞山松林,陳晃德,人為觀測,
23064184,臺灣獼猴,1,群,2024,5,17,9,39,270031,2540129,121.1953466,22.9623648,TWD97,MA-H33-12,6,寶華,周福安;李律論,人為觀測,
23064185,臺灣獼猴,1,群,2024,6,5,8,54,253708,2530359,121.0361379,22.87424979,TWD97,MA-H33-15,2,台東縣內本鹿古道※,羅俊偉;邱約德,人為觀測,
23064186,臺灣獼猴,1,群,2024,5,2,10,33,279351,2540397,121.2862416,22.96464702,TWD97,MA-H34-01,1,成功事業區13林班,王志誠;張恩賜,人為觀測,
23064187,臺灣獼猴,1,群,2024,5,7,10,15,275442,2549972,121.2482781,23.05117965,TWD97,MA-H34-03,4,成功事業區28林班,楊倍航;孔淵,人為觀測,
23064188,臺灣獼猴,1,群,2024,5,23,8,52,279042,2550770,121.2834238,23.05832698,TWD97,MA-H34-04,2,成功事業區30林班,張世華,人為觀測,
23064189,臺灣獼猴,1,群,2024,5,7,8,31,285752,2558469,121.349086,23.12772155,TWD97,MA-H34-06,5,成功事業區40林班,張世華,人為觀測,
23064190,臺灣獼猴,1,群,2024,5,30,9,15,286793,2560796,121.3593063,23.14871246,TWD97,MA-H34-07,3,成功事業區41林班,羅聰明,人為觀測,
23064191,臺灣獼猴,1,群,2024,5,30,8,53,287602,2559967,121.3671861,23.14120807,TWD97,MA-H34-07,6,成功事業區41林班,羅聰明,人為觀測,
23064192,臺灣獼猴,1,群,2024,5,10,9,29,289145,2569548,121.3824993,23.22769179,TWD97,MA-H34-08,4,成功事業區47林班,羅聰明,人為觀測,
23064193,臺灣獼猴,1,群,2024,5,7,9,42,289270,2572785,121.3838043,23.25691975,TWD97,MA-H34-09,2,成功事業區49林班,鄧智文,人為觀測,
23064194,臺灣獼猴,1,群,2024,5,7,8,56,289861,2572432,121.389571,23.25371785,TWD97,MA-H34-09,5,成功事業區49林班,鄧智文,人為觀測,
23064195,臺灣獼猴,1,群,2024,5,21,9,25,294051,2580794,121.430763,23.32912103,TWD97,MA-H34-10,6,成功事業區52林班,黃蘭鑑;張福俊,人為觀測,
23064196,臺灣獼猴,1,群,2024,5,9,10,31,294424,2582756,121.434468,23.346828,TWD97,MA-H34-11,1,成功事業區54林班,黃蘭鑑;張福俊,人為觀測,
23064197,臺灣獼猴,1,群,2024,5,9,10,4,294459,2582346,121.4347983,23.34312471,TWD97,MA-H34-11,3,成功事業區54林班,黃蘭鑑;張福俊,人為觀測,
